#,Word,Link,POS,Definition
230,blonde,https://www.handspeak.com/word/b/blonde.mp4,NN,
231,blood,https://www.handspeak.com/word/b/blood.mp4,NN,
232,blue,https://www.handspeak.com/word/b/blue.mp4,NN,
233,blur,https://www.handspeak.com/word/b/blur.mp4,NN,
234,Bolivia,https://www.handspeak.com/word/b/bolivia-bo.mp4,NN,
235,bomb,https://www.handspeak.com/word/b/bomb.mp4,NN,
236,boss,https://www.handspeak.com/word/b/boss.mp4,NN,
237,bossy,https://www.handspeak.com/word/b/bossy-command.mp4,NN,
238,both,https://www.handspeak.com/word/b/both.mp4,DT,
239,boxing,https://www.handspeak.com/word/b/boxing.mp4,NN,
240,brag,https://www.handspeak.com/word/b/brag.mp4,NN,
241,braid,https://www.handspeak.com/word/b/braid.mp4,NN,
242,brainstorm,https://www.handspeak.com/word/b/brainstorm.mp4,NN,
243,brainwash,https://www.handspeak.com/word/b/brainwash.mp4,NN,
244,braille,https://www.handspeak.com/word/b/braille.mp4,NN,
245,brave,https://www.handspeak.com/word/b/brave.mp4,NN,
246,bread,https://www.handspeak.com/word/b/bread.mp4,NN,
247,break,https://www.handspeak.com/word/b/break.mp4,NN,
248,break (recess),https://www.handspeak.com/word/b/break-recess.mp4,NN,
249,break down,https://www.handspeak.com/word/b/break-down.mp4,VB,
250,break up,https://www.handspeak.com/word/b/break-up.mp4,VB,
251,breakfast,https://www.handspeak.com/word/b/breakfast.mp4,NN,
252,breastfeed,https://www.handspeak.com/word/b/breastfeed.mp4,NN,
253,breaststroke,https://www.handspeak.com/word/b/breaststroke.mp4,NN,
254,breathe,https://www.handspeak.com/word/b/breathe.mp4,NN,
255,gulp,https://www.handspeak.com/word/g/gulp.mp4,NN,
256,Bremen,https://www.handspeak.com/word/b/bremen.mp4,NNS,
257,brief,https://www.handspeak.com/word/b/brief-short.mp4,NN,
258,bright,https://www.handspeak.com/word/b/bright.mp4,NN,
259,brilliant,https://www.handspeak.com/word/b/brilliant.mp4,NN,
260,bring,https://www.handspeak.com/word/b/bring.mp4,NN,
261,Brisbane,https://www.handspeak.com/word/b/brisbane-au.mp4,NN,
262,broadcast,https://www.handspeak.com/word/b/broadcast.mp4,NN,
263,broke,https://www.handspeak.com/word/b/broke-empty.mp4,NN,
264,brother,https://www.handspeak.com/word/b/brother.mp4,NN,
265,brown,https://www.handspeak.com/word/b/brown-usa.mp4,NN,
266,brownnose,https://www.handspeak.com/word/b/brownnose.mp4,NN,
267,mollycoddle,https://www.handspeak.com/word/m/mollycoddle.mp4,NN,
268,bruise,https://www.handspeak.com/word/b/bruise-arm.mp4,NN,
269,discolor,https://www.handspeak.com/word/d/discolor.mp4,NN,
270,blemish,https://www.handspeak.com/word/b/blemish.mp4,NN,
271,birthmark,https://www.handspeak.com/word/b/birthmark.mp4,NN,
272,brush,https://www.handspeak.com/word/b/brush-comb.mp4,NN,
273,bubble blower,https://www.handspeak.com/word/b/bubble-blower.mp4,JJ,
274,bubbles (fizz),https://www.handspeak.com/word/b/bubble-container.mp4,NNS,
275,froth,https://www.handspeak.com/word/f/froth.mp4,NN,
276,Buddhism,https://www.handspeak.com/word/b/buddhism.mp4,NN,
277,hiccups,https://www.handspeak.com/word/h/hiccups.mp4,NNS,
278,budget,https://www.handspeak.com/word/b/budget.mp4,NN,
279,bug,https://www.handspeak.com/word/b/bug-insect.mp4,NN,
280,build,https://www.handspeak.com/word/b/build.mp4,NN,
281,bull,https://www.handspeak.com/word/b/bull.mp4,NN,
282,yonder,https://www.handspeak.com/word/y/yonder.mp4,NN,
283,yourselves,https://www.handspeak.com/word/y/yourselves.mp4,NNS,
284,burka,https://www.handspeak.com/word/b/burkha-mesh.mp4,NN,
285,dupatta,https://www.handspeak.com/word/d/dupatta.mp4,NN,
286,chador,https://www.handspeak.com/word/c/chador.mp4,NN,
287,pause,https://www.handspeak.com/word/p/pause.mp4,NN,
288,business,https://www.handspeak.com/word/b/business.mp4,NN,
289,busy,https://www.handspeak.com/word/b/busy.mp4,JJ,
290,but,https://www.handspeak.com/word/b/but.mp4,CC,
291,butter,https://www.handspeak.com/word/b/butter.mp4,NN,
292,butterfly,https://www.handspeak.com/word/b/butterfly.mp4,NN,
293,button,https://www.handspeak.com/word/b/button.mp4,NN,
294,buy,https://www.handspeak.com/word/b/buy.mp4,VB,
295,purchase,https://www.handspeak.com/word/p/purchase.mp4,NN,
296,bye,https://www.handspeak.com/word/b/bye-wave.mp4,NN,
297,bye-bye,https://www.handspeak.com/word/b/bye-bye.mp4,NN,
